date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013-11-20,438491473.683,8223.0,184464000.0,7.96,0.0,31750.0,103.61929573,
2013-11-21,515455918.757,7655.0,185795000.0,8.01,0.0,29700.0,99.9636872806,
2013-11-22,726748764.052,7871.0,217402000.0,9.36,0.0,28800.0,104.773741731,
2013-11-23,310123487.351,9034.0,235214000.0,10.12,0.0,30900.0,118.02733613,
2013-11-24,283714860.214,7709.0,246542000.0,10.59,0.0,30750.0,150.12481574,
2013-11-25,321284922.639,7688.0,240567000.0,10.32,0.0,30100.0,93.0546763802,
2013-11-26,535051758.498,13768.0,288874000.0,12.38,0.0,29250.0,230.37913374,
2013-11-27,879605134.994,16755.0,465273000.0,19.91,0.0,28700.0,255.09347071,
2013-11-28,4385055989.07,20038.0,912390000.0,38.99,0.0,33400.0,292.24465514,
2013-11-29,4445042269.56,14723.0,1039720000.0,44.37,0.0,34000.0,199.271895811,
2013-11-30,2714809719.05,14063.0,866912000.0,36.94,0.0,30500.0,204.84409489,
2013-12-01,1495088417.51,13432.0,953397000.0,40.57,0.0,32300.0,186.36930566,
2013-12-02,1258452700.16,13700.0,811082000.0,34.47,0.0,33100.0,175.2013521,
2013-12-03,893663310.639,12622.0,785826000.0,33.35,0.0,33450.0,149.22061626,
2013-12-04,880887406.626,13900.0,927859000.0,39.32,0.0,30950.0,172.31758228,
2013-12-05,1882042993.98,13894.0,1052120000.0,44.53,0.0,30850.0,175.88462906,
2013-12-06,1223512471.69,11110.0,886330000.0,37.46,0.0,36150.0,125.11802814,
2013-12-07,1385031807.56,11743.0,704611000.0,29.74,0.0,33050.0,139.91724919,
2013-12-08,262820182.95,10731.0,549989000.0,23.18,0.0,35600.0,122.16983346,
2013-12-09,470903875.706,13456.0,646640000.0,27.21,0.0,35000.0,160.6875264,
2013-12-10,743738514.831,13056.0,749614000.0,31.5,0.0,29300.0,253.15582984,
2013-12-11,657943600.668,13795.0,864654000.0,36.29,0.0,31950.0,165.48937462,
2013-12-12,385695721.344,11673.0,745197000.0,31.23,0.0,33300.0,131.75329169,
2013-12-13,629572201.03,11463.0,756153000.0,31.65,0.0,29550.0,157.18988239,
2013-12-14,122884918.654,10123.0,752325000.0,31.45,0.0,32400.0,107.9011263,
2013-12-15,495367054.778,11553.0,729656000.0,30.46,0.0,29400.0,123.15199829,
2013-12-16,1252858267.19,13934.0,752925000.0,31.39,0.0,29850.0,101.80996268,
2013-12-17,639064105.991,15346.0,586726000.0,24.43,0.0,30700.0,118.83657398,
2013-12-18,1740715500.13,16393.0,525407000.0,21.85,0.0,31150.0,132.31826602,
2013-12-19,1944632834.6,13114.0,323026000.0,13.43,0.0,27900.0,94.1870016107,
2013-12-20,2721482283.79,12851.0,478564000.0,19.85,0.0,25700.0,92.8125535811,
2013-12-21,273460712.645,10161.0,417609000.0,17.31,0.0,27150.0,59.98649627,
2013-12-22,362949823.096,8679.0,401059000.0,16.6,0.0,25050.0,46.4369911099,
2013-12-23,928878822.366,9901.0,404707000.0,16.74,0.0,26800.0,56.3990468199,
2013-12-24,913152286.721,9987.0,431173000.0,17.81,0.0,27350.0,55.2404878401,
2013-12-25,139516085.638,11027.0,427762000.0,17.65,0.0,29000.0,53.94154685,
2013-12-26,372708179.622,12311.0,525226000.0,21.65,0.0,28250.0,159.86070363,
2013-12-27,1202293752.4,11457.0,602608000.0,24.81,31112200.0,31450.0,61.2947740196,
2013-12-28,230808273.085,9597.0,564204000.0,23.19,11003700.0,33750.0,45.8679535399,
2013-12-29,222948490.949,9335.0,549577000.0,22.56,11384200.0,30650.0,37.21565064,
2013-12-30,350266356.162,11628.0,582721000.0,23.89,12439600.0,30000.0,48.92259521,
2013-12-31,726026480.551,9568.0,598381000.0,24.51,7446870.0,28600.0,40.1955790999,
2014-01-01,209375764.692,8965.0,595241000.0,24.35,8092540.0,28750.0,31.86702014,
2014-01-02,278537434.763,11001.0,604650000.0,24.7,24848700.0,28250.0,39.7848929599,
2014-01-03,366628559.749,12433.0,628948000.0,25.67,21122000.0,29200.0,43.16135879,
2014-01-04,331806160.416,10428.0,608748000.0,24.81,12141900.0,31500.0,34.83084915,
2014-01-05,228934705.597,11267.0,615008000.0,25.04,29995000.0,30750.0,36.03314699,
2014-01-06,1070908097.38,16040.0,661917000.0,26.91,55258000.0,32550.0,55.9441215701,
2014-01-07,1628005242.64,12747.0,720229000.0,29.24,44133600.0,31300.0,38.9957781802,
2014-01-08,702941455.343,12007.0,563356000.0,22.84,45716500.0,33850.0,41.0314853601,
2014-01-09,158158788.951,10451.0,604687000.0,24.49,20669400.0,30250.0,26.93332792,
2014-01-10,170604120.623,9332.0,604555000.0,24.45,9761000.0,30250.0,25.0698247499,
2014-01-11,130821354.385,11196.0,618545000.0,24.99,24313000.0,29250.0,27.48024682,
2014-01-12,112697622.967,9166.0,670489000.0,27.05,20433500.0,29300.0,23.67267509,
2014-01-13,145980064.96,9962.0,623662000.0,25.13,16726300.0,28650.0,29.95363214,
2014-01-14,140172330.493,9436.0,603213000.0,24.28,7753650.0,27000.0,25.54951812,
2014-01-15,194435766.573,10537.0,599368000.0,24.1,12136300.0,30500.0,21.37033956,
2014-01-16,139877680.833,9646.0,629109000.0,25.27,7030480.0,28200.0,28.71064687,
2014-01-17,125258392.218,8773.0,608196000.0,24.4,10610700.0,28550.0,20.3576752,
2014-01-18,151821096.27,9491.0,594282000.0,23.81,5190400.0,32350.0,17.98684696,
2014-01-19,128285033.219,9873.0,613694000.0,24.56,6974650.0,29050.0,18.6265379299,
2014-01-20,182661825.208,11218.0,636076000.0,25.43,6186070.0,26350.0,27.6905048499,
2014-01-21,203223399.136,12210.0,631140000.0,25.2,4743190.0,22950.0,34.153688,
2014-01-22,192547921.386,11828.0,622754000.0,24.85,10957200.0,18900.0,29.6611886899,
2014-01-23,172716676.986,10666.0,593147000.0,23.65,9875320.0,18450.0,30.01216584,
2014-01-24,353239181.095,14183.0,559690000.0,22.3,24376400.0,25100.0,33.8756171599,
2014-01-25,133903188.339,11454.0,520190000.0,20.7,11953200.0,23600.0,23.87398441,
2014-01-26,221218104.653,12580.0,583587000.0,23.2,12199200.0,21400.0,25.0855651699,
2014-01-27,202996566.348,12738.0,607439000.0,24.13,16380200.0,20750.0,27.4501580199,
2014-01-28,157210131.831,13461.0,506991000.0,20.12,15500400.0,30600.0,27.95263434,
2014-01-29,231110685.4,12325.0,540424000.0,21.42,6053630.0,38550.0,21.2430075598,
2014-01-30,207953632.216,12571.0,553665000.0,21.91,8373710.0,39350.0,22.5587915099,
2014-01-31,91567336.9728,10604.0,547740000.0,21.65,2952510.0,25550.0,19.43762636,
2014-02-01,93513596.5051,11210.0,559715000.0,22.1,6694190.0,24650.0,20.71649433,
2014-02-02,117032971.132,10665.0,570552000.0,22.5,3546110.0,23750.0,22.59758014,
2014-02-03,137611468.304,10511.0,567762000.0,22.37,3524210.0,24850.0,23.38237206,
2014-02-04,232863836.287,12619.0,556177000.0,21.9,4879620.0,34550.0,26.3724598199,
2014-02-05,169062696.49,13438.0,547538000.0,21.53,4936760.0,36850.0,24.78772461,
2014-02-06,92457183.0239,11857.0,531339000.0,20.86,7828450.0,34200.0,21.90991527,
2014-02-07,173027245.883,11213.0,507590000.0,19.9,16757700.0,23600.0,25.4163021999,
2014-02-08,119561068.43,10500.0,473073000.0,18.53,6965790.0,23350.0,20.06502491,
2014-02-09,136215301.247,10347.0,460532000.0,18.02,5744230.0,22700.0,17.38499135,
2014-02-10,598928630.321,12060.0,467936000.0,18.3,27097100.0,20600.0,30.9955692603,
2014-02-11,155845603.191,11565.0,454561000.0,17.76,16089200.0,22750.0,38.59960518,
2014-02-12,113343262.195,11868.0,446044000.0,17.41,5629570.0,28400.0,25.42859855,
2014-02-13,111510504.005,11525.0,434127000.0,16.93,10353300.0,27150.0,20.88270048,
